"Date","London futures (£ sterling/tonne)","New York futures (US$/tonne)","ICCO daily price (US$/tonne)","ICCO daily price (Euro/tonne)"
"30/12/2022","2,003.33","2,601.33","2,515.59","2,350.31"
"29/12/2022","1,986.67","2,576.67","2,491.01","2,335.20"
"28/12/2022","2,014.67","2,620.33","2,526.92","2,379.35"
"27/12/2022","2,008.67","2,631.33","2,527.04","2,375.93"
"23/12/2022","2,002.67","2,629.33","2,526.48","2,378.30"
"22/12/2022","1,989.00","2,606.00","2,504.16","2,365.55"
"21/12/2022","1,951.00","2,535.33","2,449.39","2,311.61"
"20/12/2022","1,931.67","2,502.67","2,428.64","2,290.93"
"19/12/2022","1,919.33","2,500.00","2,423.62","2,280.87"
"16/12/2022","1,910.33","2,478.67","2,406.36","2,268.11"
"15/12/2022","1,919.00","2,525.33","2,439.16","2,293.05"
"14/12/2022","1,900.67","2,531.33","2,449.54","2,299.02"
"13/12/2022","1,903.33","2,527.67","2,446.09","2,300.91"
"12/12/2022","1,892.67","2,506.33","2,420.85","2,295.45"
"09/12/2022","1,900.00","2,506.67","2,427.25","2,301.15"
"08/12/2022","1,926.33","2,541.33","2,453.82","2,325.98"
"07/12/2022","1,907.67","2,502.00","2,418.64","2,303.27"
"06/12/2022","1,902.67","2,488.67","2,408.53","2,296.65"
"05/12/2022","1,900.67","2,482.33","2,402.85","2,289.56"
"02/12/2022","1,918.00","2,541.67","2,454.96","2,333.81"
"01/12/2022","1,926.33","2,530.67","2,450.85","2,331.37"
"30/11/2022","1,937.67","2,498.33","2,413.51","2,337.73"
"29/11/2022","1,937.00","2,479.67","2,406.73","2,324.66"
"28/11/2022","1,932.67","2,490.67","2,414.21","2,324.04"
"25/11/2022","1,925.33","2,482.00","2,410.83","2,317.41"
"24/11/2022","1,907.67","2,463.33","2,393.01","2,299.68"
"23/11/2022","1,898.00","2,444.67","2,369.72","2,286.19"
"22/11/2022","1,916.33","2,451.00","2,370.08","2,300.99"
"21/11/2022","1,925.33","2,453.33","2,366.70","2,312.74"
"18/11/2022","1,908.33","2,458.67","2,369.13","2,291.66"
"17/11/2022","1,905.33","2,452.00","2,358.20","2,279.79"
"16/11/2022","1,912.00","2,503.00","2,392.96","2,302.51"
"15/11/2022","1,911.33","2,495.67","2,386.65","2,304.55"
"14/11/2022","1,959.00","2,495.67","2,403.50","2,323.46"
"11/11/2022","1,968.00","2,520.00","2,426.53","2,348.03"
"10/11/2022","2,026.00","2,557.33","2,467.62","2,425.30"
"09/11/2022","2,048.00","2,526.67","2,436.79","2,427.04"
"08/11/2022","2,008.67","2,517.00","2,429.10","2,408.09"
"07/11/2022","2,003.67","2,493.00","2,401.31","2,402.03"
"04/11/2022","1,992.33","2,424.00","2,349.37","2,364.17"
"03/11/2022","1,949.33","2,367.67","2,279.89","2,338.60"
"02/11/2022","1,918.33","2,384.33","2,297.22","2,328.23"
"01/11/2022","1,895.00","2,352.33","2,267.97","2,297.68"
"31/10/2022","1,883.00","2,335.00","2,253.61","2,282.24"
"28/10/2022","1,860.33","2,313.67","2,238.25","2,252.23"
"27/10/2022","1,870.33","2,322.00","2,248.55","2,252.37"
"26/10/2022","1,858.33","2,294.67","2,231.16","2,216.10"
"25/10/2022","1,884.33","2,303.00","2,236.03","2,245.20"
"24/10/2022","1,927.33","2,333.33","2,259.18","2,288.32"
"21/10/2022","1,907.67","2,311.33","2,236.50","2,268.93"
"20/10/2022","1,903.00","2,321.00","2,238.07","2,279.48"
"19/10/2022","1,890.33","2,308.67","2,219.30","2,270.12"
"18/10/2022","1,879.67","2,316.33","2,223.98","2,260.24"
"17/10/2022","1,884.00","2,328.67","2,243.68","2,280.02"
"14/10/2022","1,931.33","2,371.67","2,267.67","2,331.50"
"13/10/2022","1,918.00","2,366.33","2,273.60","2,324.30"
"12/10/2022","1,908.33","2,310.67","2,214.84","2,285.49"
"11/10/2022","1,920.00","2,342.67","2,244.18","2,300.96"
"10/10/2022","1,936.67","2,351.33","2,245.87","2,315.27"
"07/10/2022","1,948.67","2,381.00","2,274.35","2,325.29"
"06/10/2022","1,917.33","2,363.00","2,249.21","2,296.67"
"05/10/2022","1,912.67","2,377.33","2,267.94","2,299.23"
"04/10/2022","1,881.67","2,356.33","2,256.64","2,261.83"
"03/10/2022","1,880.00","2,323.33","2,222.50","2,265.51"
"30/09/2022","1,906.67","2,338.33","2,230.27","2,279.79"
"29/09/2022","1,905.67","2,314.33","2,214.19","2,260.69"
"28/09/2022","1,902.00","2,272.00","2,165.79","2,235.75"
"27/09/2022","1,895.67","2,272.00","2,150.75","2,241.19"
"26/09/2022","1,873.67","2,231.00","2,118.19","2,201.65"
"23/09/2022","1,790.16","2,387.68","2,270.57","2,242.10"
"22/09/2022","1,843.00","2,322.33","2,204.12","2,240.27"
"21/09/2022","1,855.67","2,341.33","2,225.75","2,253.69"
"20/09/2022","1,854.00","2,345.00","2,233.87","2,234.76"
"19/09/2022","1,854.33","2,358.33","2,240.96","2,240.51"
"16/09/2022","1,854.67","2,348.33","2,237.12","2,234.44"
"15/09/2022","1,847.33","2,364.67","2,245.94","2,248.41"
"14/09/2022","1,812.67","2,310.33","2,207.60","2,209.81"
"13/09/2022","1,826.67","2,347.67","2,230.65","2,231.54"
"12/09/2022","1,830.00","2,383.00","2,265.62","2,236.85"
"09/09/2022","1,838.33","2,359.00","2,248.17","2,239.18"
"08/09/2022","1,831.00","2,324.33","2,216.46","2,225.54"
"07/09/2022","1,846.67","2,342.67","2,237.74","2,239.19"
"06/09/2022","1,848.33","2,366.33","2,250.21","2,272.48"
"05/09/2022","1,853.33","2,381.50","2,260.45","2,276.61"
"02/09/2022","1,856.00","2,396.67","2,276.02","2,269.19"
"01/09/2022","1,838.67","2,358.00","2,242.76","2,253.41"
"31/08/2022","1,850.33","2,404.33","2,282.30","2,268.72"
"30/08/2022","1,840.00","2,396.33","2,274.61","2,267.45"
"29/08/2022","1,832.00","2,412.67","2,283.00","2,283.68"
"26/08/2022","1,824.00","2,405.00","2,280.21","2,280.55"
"25/08/2022","1,816.00","2,406.67","2,278.31","2,288.11"
"24/08/2022","1,809.67","2,383.00","2,262.51","2,270.20"
"23/08/2022","1,771.33","2,336.33","2,220.25","2,226.91"
"22/08/2022","1,798.67","2,121.17","2,234.58","2,249.33"
"19/08/2022","1,804.33","2,374.33","2,256.82","2,247.79"
"18/08/2022","1,806.00","2,415.33","2,292.40","2,267.18"
"17/08/2022","1,801.33","2,421.33","2,298.22","2,261.79"
"16/08/2022","1,770.67","2,384.33","2,266.70","2,228.62"
"15/08/2022","1,788.00","2,411.00","2,289.56","2,250.53"
"12/08/2022","1,775.00","2,384.67","2,274.20","2,217.00"
"11/08/2022","1,789.67","2,431.67","2,315.45","2,240.20"
"10/08/2022","1,784.33","2,433.67","2,314.87","2,240.10"
"09/08/2022","1,782.33","2,388.67","2,277.19","2,227.09"
"08/08/2022","1,764.00","2,374.00","2,259.20","2,213.45"
"05/08/2022","1,755.00","2,337.00","2,232.07","2,194.24"
"04/08/2022","1,764.33","2,383.33","2,268.48","2,218.24"
"03/08/2022","1,735.67","2,324.00","2,220.24","2,188.38"
"02/08/2022","1,763.67","2,378.33","2,271.97","2,229.03"
"01/08/2022","1,747.33","2,382.67","2,269.87","2,209.72"
"29/07/2022","1,739.67","2,368.33","2,248.67","2,204.82"
"28/07/2022","1,739.00","2,354.67","2,236.91","2,201.12"
"27/07/2022","1,770.00","2,376.33","2,257.91","2,233.75"
"26/07/2022","1,793.33","2,419.67","2,294.35","2,268.43"
"25/07/2022","1,770.67","2,398.33","2,270.64","2,224.09"
"22/07/2022","1,732.67","2,326.67","2,209.52","2,161.79"
"21/07/2022","1,746.00","2,346.67","2,223.29","2,180.71"
"20/07/2022","1,775.00","2,391.67","2,265.23","2,217.20"
